Symbol,ISIN,Sector,Quantity Available,Quantity Long Term,Average Price,Previous Closing Price,Unrealized P&L,Unrealized P&L Pct.,Total_Ivestment,Current_Valuation,Asset_Group
ASIANENE,INE276G01015,ENERGY,1,0,528.55,535.1,6.55,1.2392,528.55,535.1,Equity
ATHERENERG,INE0LEZ01016,AUTOMOBILE,192,0,960.3654,1656,133561.85,72.4344,184390.1568,317952,Equity
BECTORFOOD,INE495P01020,FMCG,560,300,282.9919,242.55,-22647.44,-14.2908,158475.464,135828,Equity
BSE,INE118H01025,FINANCIAL SERVICES,49,0,3142.5959,3384,11828.8,7.6817,153987.1991,165816,Equity
C2C-SM,INE0U7V01015,DEFENCE,150,0,682,212.15,-70477.5,-68.893,102300,31822.5,Equity
EFCIL,INE886D01026,REAL ESTATE,520,32,271.8252,185.18,-45055.53,-31.8754,141349.104,96293.6,Equity
EIDPARRY,INE126A01031,FMCG,417,275,748.867,721.05,-11599.7,-3.7145,312277.539,300677.85,Equity
ETERNAL,INE758T01015,E-COMMERCE,370,0,276.5583,323.5,17368.43,16.9735,102326.571,119695,Equity
FEDFINA,INE007N01010,FINANCIAL SERVICES,1850,1455,118.8827,158.53,73347.55,33.35,219932.995,293280.5,Equity
GEMAROMA,INE06XZ01023,CHEMICALS,2,0,167.9,160.87,-14.06,-4.187,335.8,321.74,Equity
HOMEFIRST,INE481N01025,FINANCIAL SERVICES,311,226,977.7212,1184.65,64354.85,21.1644,304071.2932,368426.15,Equity
JAINREC,INE0YD401026,METALS,1,0,324.65,284.7,-39.95,-12.3056,324.65,284.7,Equity
KARNIKA-SM,INE0MGA01012,RETAIL,1000,0,123.95,119.25,-4700,-3.7919,123950,119250,Equity
KIRLOSENG,INE146L01010,ENGINEERING & CAPITAL GOODS,219,186,777.8548,2168.6,304573.2,178.7924,170350.2012,474923.4,Equity
MANORAMA,INE00VM01036,CHEMICALS,75,16,1363.8747,2063.45,52468.15,51.2932,102290.6025,154758.75,Equity
MCX,INE745G01043,FINANCIAL SERVICES,47,0,2838.4202,3276,20566.25,15.4163,133405.7494,153972,Equity
MUTHOOTMF,INE046W01019,FINANCIAL SERVICES,1360,970,195.508,196.48,1321.95,0.4972,265890.88,267212.8,Equity
RAYMONDLSL,INE02ID01020,RETAIL,144,128,1198.3062,693.7,-72663.2964,-42.11,172556.0928,99892.8,Equity
RNITAI-XT,INE335Q01026,ENGINEERING & CAPITAL GOODS,1001,0,73.2399,99.93,26716.78,36.442,73313.1399,100029.93,Equity
SGBAPR28I-GB,IN0020200062,DEBT,28,13,10674.3361,15185,126298.59,42.2571,298881.4108,425180,Precious_Metals
SGBAUG30-GB,IN0020220078,DEBT,24,20,8526.0417,15200,160175,78.2773,204625.0008,364800,Precious_Metals
SGMART,INE385F01024,E-COMMERCE,107,0,714.6294,751.25,3918.4,5.1244,76465.3458,80383.75,Equity
SHADOWFAX,INE12UN01015,E-COMMERCE,209,0,245.8575,253.4,1576.39,3.0678,51384.2175,52960.6,Equity
TIMEX,INE064A01026,RETAIL,700,285,319.4081,631.7,218604.35,97.7721,223585.67,442190,Equity
UJJIVANSFB,INE551W01018,FINANCIAL SERVICES,3000,2025,50.1345,65.54,46216.45,30.7283,150403.5,196620,Equity
YATHARTH,INE0JO301016,HEALTHCARE,205,0,703.0768,966.4,53981.25,37.453,144130.744,198112,Equity
