Symbol,ISIN,Ex-Date,Quantity,Dividend Per Share,Net Dividend Amount,Year
NESTLE,INE239A01016,2019-04-30,1,25,25,2019
NESTLE,INE239A01016,2019-05-06,1,23,23,2019
GMBREW,INE075D01018,2019-05-06,6,3,18,2019
TATAPOWER,INE245A01021,2019-06-04,15,1.3,19.5,2019
TCS,INE467B01029,2019-06-04,1,18,18,2019
ASIANPAINT,INE021A01026,2019-06-13,6,7.65,45.9,2019
TATAELXSI,INE670A01012,2019-07-08,4,13.5,54,2019
ATFL,INE209A01019,2019-07-08,2,2.5,5,2019
LGBBROSLTD,INE337A01034,2019-07-10,3,5,15,2019
TCS,INE467B01029,2019-07-16,1,5,5,2019
TIRUMALCHM6,INE338A01024,2019-07-17,22,2,44,2019
TEJASNET,INE010J01012,2019-07-17,20,1,20,2019
M&M,INE101A01026,2019-07-18,5,8.5,42.5,2019
PEL,INE140A01024,2019-07-18,4,28,112,2019
VIPIND,INE054A01027,2019-07-19,18,2,36,2019
L&TFH,INE498L01015,2019-07-19,15,1,15,2019
TRENT,INE849A01020,2019-07-19,5,1.3,6.5,2019
NOCIL6,INE163A01018,2019-07-22,10,2.5,25,2019
HIKAL6,INE475B01022,2019-07-23,10,0.6,6,2019
ASHOKLEY,INE208A01029,2019-07-23,43,3.1,133.3,2019
GODREJAGRO6,INE850D01014,2019-07-25,4,4.5,18,2019
GSKCONS,INE264A01014,2019-07-25,1,105,105,2019
PIDILITIND,INE318A01026,2019-07-29,1,6.5,6.5,2019
AVANTI,INE871C01038,2019-07-30,8,4,32,2019
RANEHOLDIN6,INE384A01010,2019-07-31,3,11,33,2019
BRITANNIA,INE216A01030,2019-08-01,5,15,75,2019
RELIANCE,INE002A01018,2019-08-02,5,6.5,32.5,2019
NESTLE,INE239A01016,2019-08-09,1,23,23,2019
NESTLE,INE239A01016,2019-08-09,1,180,180,2019
ABBOTINDIA,INE358A01014,2019-08-13,1,15,15,2019
ABBOTINDIA,INE358A01014,2019-08-13,1,50,50,2019
MARUTI6,INE585B01010,2019-08-14,2,80,160,2019
INDIGO,INE646L01027,2019-08-19,4,5,20,2019
TVSSRICHAK,INE421C01016,2019-09-03,1,40,40,2019
CDSL,INE736A01011,2019-09-06,5,4,20,2019
NBCC,INE095N01031,2019-09-12,30,0.65,19.5,2019
MINDACORP,INE842C01021,2019-09-19,19,0.45,8.55,2019
BEPL,INE922A01025,2019-09-19,100,0.5,50,2019
RADICO,INE944F01028,2019-09-19,20,1.2,24,2019
DIAMONDYD6,INE393P01035,2019-09-19,1,1,1,2019
AMARJOTHI6,INE484D01012,2019-09-20,2,2,4,2019
TCS,INE467B01029,2019-10-17,2,5,10,2019
TCS,INE467B01029,2019-10-17,2,40,80,2019
ASIANPAINT,INE021A01026,2019-10-30,6,3.35,20.1,2019
PGHH,INE179A01014,2019-11-19,1,48,48,2019
RAIN6,INE855B01025,2019-11-25,108,1,108,2019
NESTLE,INE239A01016,2019-12-10,1,55,55,2019
TCS,INE467B01029,2020-01-23,2,5,10,2020
MINDACORP,INE842C01021,2020-02-17,19,0.35,6.65,2020
RANEHOLDIN6,INE384A01010,2020-02-17,3,4,12,2020
VIPIND,INE054A01027,2020-02-24,18,3.2,57.6,2020
ASIANPAINT,INE021A01026,2020-03-03,6,7.15,42.9,2020
PIDILITIND,INE318A01026,2020-03-13,2,7,14,2020
TCS,INE467B01029,2020-03-19,2,12,24,2020
DELTACORP,INE124G01033,2020-03-19,12,0.75,9,2020
ASHOKLEY,INE208A01029,2020-03-19,53,0.5,26.5,2020
BRITANNIA,INE216A01030,2020-04-29,6,35,210,2020
TCS,INE467B01029,2020-06-03,4,6,24,2020
NESTLE,INE239A01016,2020-06-11,1,61,61,2020
HINDUNILVR,INE030A01027,2020-06-19,4,14,56,2020
RELIANCE,INE002A01018,2020-07-02,14,6.5,91,2020
ITC,INE154A01025,2020-07-06,58,10.15,588.7,2020
TATAELXSI,INE670A01012,2020-07-13,10,16.5,165,2020
M&M,INE101A01026,2020-07-16,5,2.35,11.75,2020
PEL,INE140A01024,2020-07-16,8,14,112,2020
TCS,INE467B01029,2020-07-16,4,5,20,2020
ASIANPAINT,INE021A01026,2020-07-23,7,1.5,10.5,2020
TRENT,INE849A01020,2020-07-24,3,1,3,2020
GMBREW,INE075D01018,2020-07-29,15,3,45,2020
HINDUNILVR,INE030A01027,2020-07-30,4,9.5,38,2020
TITAN,INE280A01028,2020-08-03,4,4,16,2020
RANEHOLDIN6,INE384A01010,2020-08-06,3,4,12,2020
MARUTI6,INE585B01010,2020-08-13,3,60,180,2020
BRITANNIA,INE216A01030,2020-08-26,6,83,498,2020
ABBOTINDIA,INE358A01014,2020-08-28,1,143,143,2020
ABBOTINDIA,INE358A01014,2020-08-28,1,107,107,2020
TCS,INE467B01029,2020-10-14,4,12,48,2020
HINDUNILVR,INE030A01027,2020-10-28,4,14,56,2020
ASIANPAINT,INE021A01026,2020-10-28,7,3.35,23.45,2020
NESTLE,INE239A01016,2020-10-29,1,135,135,2020
RAIN6,INE855B01025,2020-11-10,176,1,176,2020
NBCC,INE095N01031,2020-11-26,86,0.13,11.18,2020
TCS,INE467B01029,2021-01-14,4,6,24,2021
MINDACORP,INE842C01021,2021-02-15,19,0.3,5.7,2021
ITC,INE154A01025,2021-02-22,90,5,450,2021
BRITANNIA,INE216A01030,2021-04-08,6,62,372,2021
NESTLE,INE239A01016,2021-04-29,1,25,25,2021
NESTLE,INE239A01016,2021-04-29,1,65,65,2021
BRITANNIA,INE216A01030,2021-05-25,6,12.5,75,2021
TCS,INE467B01029,2021-05-25,4,15,60,2021
ASIANPAINT,INE021A01026,2021-06-10,9,14.5,130.5,2021
ITC,INE154A01025,2021-06-10,90,5.75,517.5,2021
RELIANCE,INE002A01018,2021-06-11,18,7,126,2021
HINDUNILVR,INE030A01027,2021-06-14,4,17,68,2021
GMBREW,INE075D01018,2021-06-28,20,4,80,2021
HDFCLIFE,INE795G01014,2021-06-30,17,2.02,34.34,2021
TCS,INE467B01029,2021-07-15,4,7,28,2021
ABBOTINDIA,INE358A01014,2021-07-19,2,155,310,2021
ABBOTINDIA,INE358A01014,2021-07-19,2,120,240,2021
DELTACORP,INE124G01033,2021-07-29,25,1,25,2021
MARUTI6,INE585B01010,2021-08-05,3,45,135,2021
TCS,INE467B01029,2021-10-14,4,7,28,2021
NESTLE,INE239A01016,2021-10-26,1,110,110,2021
HINDUNILVR,INE030A01027,2021-10-26,4,15,60,2021
ASIANPAINT,INE021A01026,2021-10-28,9,3.65,32.85,2021
RAIN6,INE855B01025,2021-11-11,207,1,207,2021
TCS,INE467B01029,2022-01-19,4,7,28,2022
ITC,INE154A01025,2022-02-14,91,5.25,477.75,2022
IRCTC,INE335Y01020,2022-02-17,7,2,14,2022
AUROPHARMA,INE406A01037,2022-02-18,4,1.5,6,2022
TRENT,INE849A01020,2022-02-22,1,0.6,0.6,2022
MANAPPURAM,INE522D01027,2022-02-24,23,0.75,17.25,2022
VIPIND,INE054A01027,2022-03-08,46,2.5,115,2022
SBICARD,INE018E01016,2022-03-30,10,2.5,25,2022
NESTLE,INE239A01016,2022-04-21,1,65,65,2022
NESTLE,INE239A01016,2022-04-21,1,25,25,2022
TCS,INE467B01029,2022-05-25,5,22,110,2022
ITC,INE154A01025,2022-05-26,91,6.25,568.75,2022
HDFCLIFE,INE795G01014,2022-05-31,26,1.7,44.2,2022
ASIANPAINT,INE021A01026,2022-06-09,13,15.5,201.5,2022
HINDUNILVR,INE030A01027,2022-06-15,11,19,209,2022
BRITANNIA,INE216A01030,2022-06-20,6,56.5,339,2022
LTTS,INE010V01017,2022-07-07,3,15,45,2022
TITAN,INE280A01028,2022-07-08,3,7.5,22.5,2022
TCS,INE467B01029,2022-07-14,5,8,40,2022
PAUSHAKLTD6,INE111F01016,2022-08-01,2,12,24,2022
ABBOTINDIA,INE358A01014,2022-08-02,2,145,290,2022
ABBOTINDIA,INE358A01014,2022-08-02,2,130,260,2022
MARUTI6,INE585B01010,2022-08-03,3,60,180,2022
HONAUT,INE671A01010,2022-08-08,1,90,90,2022
RAIN6,INE855B01025,2022-08-11,243,1,243,2022
IRCTC,INE335Y01020,2022-08-18,11,1.5,16.5,2022
RELIANCE,INE002A01018,2022-08-18,24,8,192,2022
MCX,INE745G01035,2022-09-19,11,17.4,191.4,2022
TCS,INE467B01029,2022-10-17,9,8,72,2022
INFY,INE009A01021,2022-10-27,10,16.5,165,2022
ASIANPAINT,INE021A01026,2022-10-31,13,4.4,57.2,2022
NESTLE,INE239A01016,2022-10-31,1,120,120,2022
HINDUNILVR,INE030A01027,2022-11-01,13,17,221,2022
VAIBHAVGBL6,INE884A01027,2022-11-03,39,1.5,58.5,2022
ASTRAL,INE006I01046,2022-11-18,4,1.25,5,2022
TCS,INE467B01029,2023-01-16,9,67,603,2023
TCS,INE467B01029,2023-01-16,9,8,72,2023
VAIBHAVGBL6,INE884A01027,2023-02-03,76,1.5,114,2023
ITC,INE154A01025,2023-02-15,71,6,426,2023
GOLDIAM,INE025B01025,2023-02-22,50,2,100,2023
BRITANNIA,INE216A01030,2023-04-13,6,72,432,2023
APTUS,INE852O01025,2023-05-12,52,2,104,2023
HOMEFIRST,INE481N01025,2023-05-19,20,2.6,52,2023
ITC,INE154A01025,2023-05-30,41,6.75,276.75,2023
ITC,INE154A01025,2023-05-30,41,2.75,112.75,2023
INFY,INE009A01021,2023-06-02,26,17.5,455,2023
PAGEIND,INE761H01022,2023-06-02,2,60,120,2023
ELECON,INE205B01023,2023-06-09,53,2,106,2023
ASIANPAINT,INE021A01026,2023-06-09,16,21.25,340,2023
HINDUNILVR,INE030A01027,2023-06-19,13,22,286,2023
RAYMOND,INE301A01014,2023-06-23,19,3,57,2023
BAJFINANCE6,INE296A01024,2023-06-30,14,30,420,2023
SONACOMS,INE073K01018,2023-06-30,67,1.53,102.51,2023
PERSISTENT,INE262H01013,2023-07-11,11,12,132,2023
PERSISTENT,INE262H01013,2023-07-11,11,10,110,2023
ABBOTINDIA,INE358A01014,2023-07-21,2,145,290,2023
ABBOTINDIA,INE358A01014,2023-07-21,2,180,360,2023
ABBOTINDIA,INE358A01014,2023-07-21,2,145,290,2023
ANGELONE,INE732I01013,2023-07-21,31,9.25,286.75,2023
ABBOTINDIA,INE358A01014,2023-07-21,2,145,290,2023
ABBOTINDIA,INE358A01014,2023-07-21,2,180,360,2023
TIPSINDLTD,INE716B01029,2023-08-04,112,0.5,56,2023
KIRLOSENG,INE146L01010,2023-08-04,102,2.5,255,2023
ASTRAL,INE006I01046,2023-08-04,16,2.25,36,2023
TIPSINDLTD,INE716B01029,2023-08-04,112,1,112,2023
KPITTECH,INE04I401011,2023-08-14,67,2.65,177.55,2023
PAGEIND,INE761H01022,2023-08-18,3,75,225,2023
RELIANCE,INE002A01018,2023-08-21,34,9,306,2023
CDSL,INE736A01011,2023-08-25,69,16,1104,2023
PSPPROJECT,INE488V01015,2023-09-01,61,2.5,152.5,2023
CENTURYPLY,INE348B01021,2023-09-20,82,1,82,2023
PATANJALI,INE619A01035,2023-09-21,83,6,498,2023
ANGELONE,INE732I01013,2023-10-20,62,12.7,787.4,2023
TIPSINDLTD,INE716B01029,2023-10-31,209,2,418,2023
ELECON,INE205B01023,2023-10-31,82,1,82,2023
MASFIN,INE348L01012,2024-01-23,126,3,378,2024
ANGELONE,INE732I01013,2024-01-23,64,12.7,812.8,2024
PERSISTENT,INE262H01013,2024-01-30,21,32,672,2024
TIPSINDLTD,INE716B01029,2024-02-01,220,3,660,2024
SONACOMS,INE073K01018,2024-02-05,158,1.53,241.74,2024
KPITTECH,INE04I401011,2024-02-09,118,2.1,247.8,2024
KIRLOSENG,INE146L01010,2024-02-23,177,2.5,442.5,2024
KEI,INE878B01027,2024-03-19,51,3.5,178.5,2024
PATANJALI,INE619A01035,2024-03-21,107,6,642,2024
SULA,INE142Q01026,2024-05-22,285,4.5,1282.5,2024
CMSINFO,INE925R01014,2024-05-28,263,3.25,854.75,2024
HOMEFIRST,INE481N01025,2024-06-07,148,3.4,503.2,2024
RAYMOND,INE301A01014,2024-06-13,55,10,550,2024
SONACOMS,INE073K01018,2024-06-14,182,1.53,278.46,2024
PERSISTENT,INE262H01021,2024-07-09,44,10,440,2024
DRREDDY,INE089A01023,2024-07-16,5,40,200,2024
KIRLOSENG,INE146L01010,2024-08-01,115,3.5,402.5,2024
