Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.,Year
ABBOTINDIA,INE358A01014,0,0,0,0,0,27899.65,1,,7704.85,20194.8,262.105,2020
ABCAPITAL,INE674K01013,0,0,0,0,0,358.7,98,,11915.45,23237.15,195.017,2020
ABFRL,INE647O01011,8,809.05,1173.2,364.15,45.0096,72.8,62,,8243.5,-3729.9,-45.2466,2020
ALOKINDS,INE270A01029,0,0,0,0,0,15.82,161,,5294.5,-2747.48,-51.8931,2020
AMARJOTHI-X,INE484D01012,2,381.85,140.8,-241.05,-63.1269,0,0,,0,0,0,2020
ASHOKLEY,INE208A01029,63,5312.4,5246.95,-65.45,-1.232,0,0,,0,0,0,2020
ASIANPAINT,INE021A01026,0,0,0,0,0,2815.35,7,,9455.85,10251.6,108.4154,2020
BAJAJFINSV,INE918I01026,1,4912.1,5193.25,281.15,5.7236,0,0,,0,0,0,2020
BEPL,INE922A01025,170,10549.3,10089.5,-459.8,-4.3586,0,0,,0,0,0,2020
BIRLAMONEY,INE865C01022,190,8404.9,6346.75,-2058.15,-24.4875,0,0,,0,0,0,2020
BRITANNIA,INE216A01030,0,0,0,0,0,5906.5,6,,16214,19225,118.5704,2020
BRITANNIA-N2,INE216A07052,0,0,0,0,0,32.2,5,,0,161,0,2020
DELTACORP,INE124G01033,45,4003.75,6655.5,2651.75,66.2317,72.74,25,,1609.8,208.7,12.9643,2020
FRETAIL-Z,INE752P01024,10,1080,1050,-30,-2.7778,0,0,,0,0,0,2020
GMBREW,INE075D01018,0,0,0,0,0,1033.6,15,,7487.95,8016.05,107.0527,2020
HDFCLIFE,INE795G01014,2,768.7,691,-77.7,-10.108,743.2,17,,8830.95,3803.45,43.0695,2020
HINDUNILVR,INE030A01027,0,0,0,0,0,2353.5,4,,6314.2597,3099.7403,49.0911,2020
HONAUT,INE671A01010,1,33819.75,34400.6,580.85,1.7175,0,0,,0,0,0,2020
IDFCFIRSTB,INE092T01019,0,0,0,0,0,83.07,593,,20641.15,28619.36,138.652,2020
INDIGO,INE646L01027,6,5966,10150.2,4184.2,70.1341,0,0,,0,0,0,2020
ITC,INE154A01025,0,0,0,0,0,334.75,75,,13619.1,11487.15,84.3459,2020
JPASSOCIAT-T,INE455F01025,244,1812.3,1119.96,-692.34,-38.2023,0,0,,0,0,0,2020
KOKUYOCMLN,INE760A01029,3,368.1,241.5,-126.6,-34.3928,0,0,,0,0,0,2020
LGBBROSLTD,INE337A01034,3,1457.3,1030.8,-426.5,-29.2665,0,0,,0,0,0,2020
MARUTI,INE585B01010,0,0,0,0,0,16152,3,,18821,29635,157.4571,2020
MINDACORP,INE842C01021,0,0,0,0,0,569.05,19,,2935.95,7876,268.2607,2020
M&M,INE101A01026,5,3679.3,3191.5,-487.8,-13.258,0,0,,0,0,0,2020
MOTHERSON,INE775A01035,50,3402.5,3220,-182.5,-5.3637,0,0,,0,0,0,2020
NBCC,INE095N01031,0,0,0,0,0,105.2,86,,3401.85,5645.35,165.9494,2020
NESTLEIND,INE239A01024,0,0,0,0,0,1307.5,1,,10162,-8854.5,-87.1334,2020
PATANJALI,INE619A01035,4,2205,2827.8,622.8,28.2449,0,0,,0,0,0,2020
PEL,INE140A01024,0,0,0,0,0,1124.6,8,,15016.2,-6019.4,-40.086,2020
PGHH,INE179A01014,1,10468.35,10083.05,-385.3,-3.6806,0,0,,0,0,0,2020
PIDILITIND,INE318A01026,3,3786.25,3937.05,150.8,3.9828,0,0,,0,0,0,2020
RADICO,INE944F01028,20,5910.15,7462,1551.85,26.2574,0,0,,0,0,0,2020
RAIN,INE855B01025,3,253.5,253.8,0.3,0.1183,144.78,177,,16158.55,9467.51,58.5913,2020
RANEHOLDIN,INE384A01010,0,0,0,0,0,1309.2,3,,6190.6,-2263,-36.5554,2020
RELIANCE,INE002A01018,0,0,0,0,0,1458.8,16,,18855.3,4485.5,23.7891,2020
RUCHISOYA,INE619A01027,0,0,0,0,0,3.35,400,,2205,-865,-39.229,2020
SPICEJET,INE285B01017,93,6268.8,6756.45,487.65,7.779,0,0,,0,0,0,2020
SPTL-Z,INE501W01021,160,7462.7,304,-7158.7,-95.9264,0,0,,0,0,0,2020
TATAELXSI,INE670A01012,10,7723.25,10025.3,2302.05,29.8068,0,0,,0,0,0,2020
TATAMTRDVR,IN9155A01020,27,791.75,930.15,138.4,17.4803,0,0,,0,0,0,2020
