particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Opening Balance,,,,,,0
Being Payment Gateway Charges Debited -X,2017-06-28,NSE-EQ - Z,Journal Entry,10.35,0,-10.35
Settlement Value for 2017121,2017-06-28,NSE-EQ - Z,Book Voucher,12030.648,0,-12040.998
Being amount received fromclient through NEST Payment Gatewa,2017-06-28,NSE-EQ - Z,Bank Receipts,0,14000,1959.002
Settlement Value for 2017122,2017-06-29,NSE-EQ - Z,Book Voucher,352.546,0,1606.456
Settlement Value for 1718062,2017-06-29,BSE-EQ - Z,Book Voucher,1370.745,0,235.711
Settlement Value for 2017123,2017-06-30,NSE-EQ - Z,Book Voucher,0,2418.166,2653.877
Settlement Value for 2017124,2017-07-03,NSE-EQ - Z,Book Voucher,1684.711,0,969.166
Settlement Value for 1718064,2017-07-03,BSE-EQ - Z,Book Voucher,968.615,0,0.551
DP Charges for 03/07/2017,2017-07-03,NSE-EQ - Z,Journal Entry,15.93,0,-15.379
DP Charges for 04/07/2017,2017-07-04,NSE-EQ - Z,Journal Entry,15.93,0,-31.309
Settlement Value for 2017126,2017-07-05,NSE-EQ - Z,Book Voucher,1994.461,0,-2025.77
Being amount received fromclientIGABPEELB6 through NEST Payment Gatewa,2017-07-05,NSE-EQ - Z,Bank Receipts,0,2000,-25.77
Being amount received fromclientIGABPECQI4 through NEST Payment Gatewa,2017-07-05,NSE-EQ - Z,Bank Receipts,0,2000,1974.23
Settlement Value for 1718066,2017-07-05,BSE-EQ - Z,Book Voucher,0,622.019,2596.249
Being Payment Gateway Charges Debited -X,2017-07-05,NSE-EQ - Z,Journal Entry,10.62,0,2585.629
Being Payment Gateway Charges Debited -X,2017-07-05,NSE-EQ - Z,Journal Entry,10.62,0,2575.009
Settlement Value for 2017127,2017-07-06,NSE-EQ - Z,Book Voucher,2376.501,0,198.508
Settlement Value for 1718067,2017-07-06,BSE-EQ - Z,Book Voucher,214.278,0,-15.77
DP Charges for 06/07/2017,2017-07-06,BSE-EQ - Z,Journal Entry,15.93,0,-31.7
Being Payment Gateway Charges Debited -X,2017-07-07,NSE-EQ - Z,Journal Entry,10.62,0,-42.32
Being amount received fromclientIGABPMOZE7 through NEST Payment Gatewa,2017-07-07,NSE-EQ - Z,Bank Receipts,0,1500,1457.68
Settlement Value for 2017128,2017-07-07,NSE-EQ - Z,Book Voucher,1354.399,0,103.281
Settlement Value for 2017129,2017-07-10,NSE-EQ - Z,Book Voucher,43.623,0,59.658
Settlement Value for 1718069,2017-07-10,BSE-EQ - Z,Book Voucher,0,144.281,203.939
Being Payment Gateway Charges Debited -X,2017-07-10,NSE-EQ - Z,Journal Entry,10.62,0,193.319
Being amount received fromclientIGABQAZOV9 through NEST Payment Gatewa,2017-07-10,NSE-EQ - Z,Bank Receipts,0,2300,2493.319
Settlement Value for 2017130,2017-07-11,NSE-EQ - Z,Book Voucher,2483.563,0,9.756
DP Charges for 11/07/2017,2017-07-11,BSE-EQ - Z,Journal Entry,15.93,0,-6.174
Settlement Value for 2017131,2017-07-12,NSE-EQ - Z,Book Voucher,0,50.89,44.716
DP Charges for 12/07/2017,2017-07-12,NSE-EQ - Z,Journal Entry,15.93,0,28.786
Settlement Value for 2017132,2017-07-13,NSE-EQ - Z,Book Voucher,37.394,0,-8.608
DP Charges for 13/07/2017,2017-07-13,NSE-EQ - Z,Journal Entry,15.93,0,-24.538
DP Charges for 14/07/2017,2017-07-14,NSE-EQ - Z,Journal Entry,15.93,0,-40.468
Settlement Value for 2017134,2017-07-17,NSE-EQ - Z,Book Voucher,0,95.723,55.255
Settlement Value for 2017135,2017-07-18,NSE-EQ - Z,Book Voucher,982.718,0,-927.463
Being amount received fromclientIGABRDIZP1 through NEST Payment Gatewa,2017-07-18,NSE-EQ - Z,Bank Receipts,0,1000,72.537
Settlement Value for 1718075,2017-07-18,BSE-EQ - Z,Book Voucher,0,390.883,463.42
Being Payment Gateway Charges Debited -X,2017-07-18,NSE-EQ - Z,Journal Entry,10.62,0,452.8
DP Charges for 18/07/2017,2017-07-18,NSE-EQ - Z,Journal Entry,15.93,0,436.87
Settlement Value for 2017136,2017-07-19,NSE-EQ - Z,Book Voucher,264.267,0,172.603
Settlement Value for 1718076,2017-07-19,BSE-EQ - Z,Book Voucher,0,196.096,368.699
DP Charges for 19/07/2017,2017-07-19,BSE-EQ - Z,Journal Entry,15.93,0,352.769
DP Charges for 19/07/2017,2017-07-19,NSE-EQ - Z,Journal Entry,15.93,0,336.839
DP Charges for 19/07/2017,2017-07-19,NSE-EQ - Z,Journal Entry,31.86,0,304.979
DP Charges for 20/07/2017,2017-07-20,NSE-EQ - Z,Journal Entry,15.93,0,289.049
DP Charges for 20/07/2017,2017-07-20,BSE-EQ - Z,Journal Entry,15.93,0,273.119
Settlement Value for 1718077,2017-07-20,BSE-EQ - Z,Book Voucher,0,786.36,1059.479
Settlement Value for 2017137,2017-07-20,NSE-EQ - Z,Book Voucher,333.344,0,726.135
Settlement Value for 2017138,2017-07-21,NSE-EQ - Z,Book Voucher,736.161,0,-10.026
DP Charges for 21/07/2017,2017-07-21,BSE-EQ - Z,Journal Entry,15.93,0,-25.956
Settlement Value for 2017139,2017-07-24,NSE-EQ - Z,Book Voucher,0,9.028,-16.928
Settlement Value for 1718079,2017-07-24,BSE-EQ - Z,Book Voucher,3.341,0,-20.269
Settlement Value for 2017140,2017-07-25,NSE-EQ - Z,Book Voucher,0,32.131,11.862
DP Charges for 25/07/2017,2017-07-25,NSE-EQ - Z,Journal Entry,15.93,0,-4.068
Settlement Value for 2017141,2017-07-26,NSE-EQ - Z,Book Voucher,0,199.378,195.31
DP Charges for 26/07/2017,2017-07-26,NSE-EQ - Z,Journal Entry,15.93,0,179.38
Settlement Value for 1718081,2017-07-26,BSE-EQ - Z,Book Voucher,214.245,0,-34.865
Settlement Value for 2017142,2017-07-27,NSE-EQ - Z,Book Voucher,0,171.471,136.606
DP Charges for 27/07/2017,2017-07-27,NSE-EQ - Z,Journal Entry,15.93,0,120.676
Settlement Value for 1718082,2017-07-27,BSE-EQ - Z,Book Voucher,156.991,0,-36.315
DP Charges for 28/07/2017,2017-07-28,NSE-EQ - Z,Journal Entry,15.93,0,-52.245
Settlement Value for 2017145,2017-08-01,NSE-EQ - Z,Book Voucher,0,1451.823,1399.578
Settlement Value for 2017146,2017-08-02,NSE-EQ - Z,Book Voucher,1366.364,0,33.214
DP Charges for 02/08/2017,2017-08-02,NSE-EQ - Z,Journal Entry,31.86,0,1.354
DP Charges for 02/08/2017,2017-08-02,NSE-EQ - Z,Journal Entry,15.93,0,-14.576
Settlement Value for 2017149,2017-08-07,NSE-EQ - Z,Book Voucher,4744.336,0,-4758.912
Being Payment Gateway Charges Debited -X,2017-08-07,NSE-EQ - Z,Journal Entry,10.62,0,-4769.532
Being amount received fromclientIGABTZAML4 through NEST Payment Gatewa,2017-08-07,NSE-EQ - Z,Bank Receipts,0,5000,230.468
Settlement Value for 2017153,2017-08-11,NSE-EQ - Z,Book Voucher,7205.833,0,-6975.365
Being Payment Gateway Charges Debited -X,2017-08-11,NSE-EQ - Z,Journal Entry,10.62,0,-6985.985
Being amount received fromclientIGABUQPJU9 through NEST Payment Gatewa,2017-08-11,NSE-EQ - Z,Bank Receipts,0,7000,14.015
Settlement Value for 2017156,2017-08-17,NSE-EQ - Z,Book Voucher,0,328.454,342.469
Settlement Value for 2017157,2017-08-18,NSE-EQ - Z,Book Voucher,38.569,0,303.9
Settlement Value for 1718097,2017-08-18,BSE-EQ - Z,Book Voucher,297.34,0,6.56
DP Charges for 18/08/2017,2017-08-18,NSE-EQ - Z,Journal Entry,15.93,0,-9.37
DP Charges for 21/08/2017,2017-08-21,NSE-EQ - Z,Journal Entry,63.72,0,-73.09
Settlement Value for 2017159,2017-08-22,NSE-EQ - Z,Book Voucher,0,42.078,-31.012
Settlement Value for 2017160,2017-08-23,NSE-EQ - Z,Book Voucher,0,67.476,36.464
DP Charges for 23/08/2017,2017-08-23,NSE-EQ - Z,Journal Entry,15.93,0,20.534
Settlement Value for 2017161,2017-08-24,NSE-EQ - Z,Book Voucher,0,22.023,42.557
DP Charges for 24/08/2017,2017-08-24,NSE-EQ - Z,Journal Entry,31.86,0,10.697
DP Charges for 24/08/2017,2017-08-24,NSE-EQ - Z,Journal Entry,15.93,0,-5.233
Settlement Value for 2017162,2017-08-28,NSE-EQ - Z,Book Voucher,0,2255.639,2250.406
DP Charges for 28/08/2017,2017-08-28,NSE-EQ - Z,Journal Entry,31.86,0,2218.546
Settlement Value for 1718102,2017-08-28,BSE-EQ - Z,Book Voucher,2003.574,0,214.972
Settlement Value for 2017163,2017-08-29,NSE-EQ - Z,Book Voucher,219.014,0,-4.042
Settlement Value for 2017164,2017-08-30,NSE-EQ - Z,Book Voucher,0,212.601,208.559
DP Charges for 30/08/2017,2017-08-30,NSE-EQ - Z,Journal Entry,47.79,0,160.769
DP Charges for 30/08/2017,2017-08-30,NSE-EQ - Z,Journal Entry,15.93,0,144.839
Settlement Value for 2017165,2017-08-31,NSE-EQ - Z,Book Voucher,133.138,0,11.701
DP Charges for 31/08/2017,2017-08-31,NSE-EQ - Z,Journal Entry,15.93,0,-4.229
Settlement Value for 2017166,2017-09-01,NSE-EQ - Z,Book Voucher,842.963,0,-847.192
Settlement Value for 1718106,2017-09-01,BSE-EQ - Z,Book Voucher,0,851.644,4.452
DP Charges for 01/09/2017,2017-09-01,NSE-EQ - Z,Journal Entry,31.86,0,-27.408
Settlement Value for 2017167,2017-09-04,NSE-EQ - Z,Book Voucher,0,145.862,118.454
Settlement Value for 1718107,2017-09-04,BSE-EQ - Z,Book Voucher,132.777,0,-14.323
DP Charges for 04/09/2017,2017-09-04,NSE-EQ - Z,Journal Entry,15.93,0,-30.253
DP Charges for 04/09/2017,2017-09-04,BSE-EQ - Z,Journal Entry,15.93,0,-46.183
Settlement Value for 2017168,2017-09-05,NSE-EQ - Z,Book Voucher,0,1772.661,1726.478
DP Charges for 05/09/2017,2017-09-05,NSE-EQ - Z,Journal Entry,15.93,0,1710.548
Settlement Value for 2017169,2017-09-06,NSE-EQ - Z,Book Voucher,1273.079,0,437.469
Settlement Value for 1718109,2017-09-06,BSE-EQ - Z,Book Voucher,212.832,0,224.637
DP Charges for 06/09/2017,2017-09-06,NSE-EQ - Z,Journal Entry,15.93,0,208.707
DP Charges for 06/09/2017,2017-09-06,NSE-EQ - Z,Journal Entry,15.93,0,192.777
Settlement Value for 2017170,2017-09-07,NSE-EQ - Z,Book Voucher,0,2987.366,1260.973
DP Charges for 07/09/2017,2017-09-07,NSE-EQ - Z,Journal Entry,15.93,0,-1726.393
Settlement Value for 1718110,2017-09-07,BSE-EQ - Z,Book Voucher,1903.24,0,-1710.463
Settlement Value for 2017171,2017-09-08,NSE-EQ - Z,Book Voucher,50.357,0,1210.616
Settlement Value for 1718111,2017-09-08,BSE-EQ - Z,Book Voucher,1211.775,0,-1.159
DP Charges for 08/09/2017,2017-09-08,NSE-EQ - Z,Journal Entry,15.93,0,-17.089
DP Charges for 08/09/2017,2017-09-08,NSE-EQ - Z,Journal Entry,15.93,0,-33.019
DP Charges for 08/09/2017,2017-09-08,NSE-EQ - Z,Journal Entry,15.93,0,-48.949
Settlement Value for 2017175,2017-09-14,NSE-EQ - Z,Book Voucher,0,51.984,3.035
Being amount received fromX-IGACADPAX1 through NEST Payment Gateway,2017-09-14,NSE-EQ - Z,Bank Receipts,0,2000,2003.035
Being Payment Gateway Charges Debited -X,2017-09-14,NSE-EQ - Z,Journal Entry,10.62,0,1992.415
Settlement Value for 1718115,2017-09-14,BSE-EQ - Z,Book Voucher,518.783,0,1473.632
Settlement Value for 2017176,2017-09-15,NSE-EQ - Z,Book Voucher,0,658.74,2132.372
Settlement Value for 1718116,2017-09-15,BSE-EQ - Z,Book Voucher,1195.421,0,936.951
DP Charges for 15/09/2017,2017-09-15,NSE-EQ - Z,Journal Entry,15.93,0,921.021
Settlement Value for 2017177,2017-09-18,NSE-EQ - Z,Book Voucher,0,167.172,1088.193
DP Charges for 18/09/2017,2017-09-18,NSE-EQ - Z,Journal Entry,15.93,0,1072.263
Settlement Value for 1718117,2017-09-18,BSE-EQ - Z,Book Voucher,92.055,0,980.208
Settlement Value for 2017178,2017-09-19,NSE-EQ - Z,Book Voucher,953.107,0,27.101
DP Charges for 19/09/2017,2017-09-19,NSE-EQ - Z,Journal Entry,15.93,0,11.171
Being Payment Gateway Charges Debited -X,2017-10-09,NSE-EQ - Z,Journal Entry,10.62,0,0.551
Settlement Value for 2017191,2017-10-09,NSE-EQ - Z,Book Voucher,1862.663,0,-1862.112
Being amount received fromX-IGACDUTFS6 through NEST Payment Gateway,2017-10-09,NSE-EQ - Z,Bank Receipts,0,2000,137.888
Settlement Value for 1718131,2017-10-09,BSE-EQ - Z,Book Voucher,108.396,0,29.492
Settlement Value for 2017192,2017-10-10,NSE-EQ - Z,Book Voucher,0,44.202,73.694
Settlement Value for 1718132,2017-10-10,BSE-EQ - Z,Book Voucher,22.039,0,51.655
DP Charges for 10/10/2017,2017-10-10,NSE-EQ - Z,Journal Entry,31.86,0,19.795
